Date,sender,text,category
13/04/2025 3:28,GoTyme Bank,"Never share your OTP 385535 or enter it on suspicious forms/sites from SMS links. Only use it in the GoTyme Bank app. If you didn't request it, call #468888.",otp
11/04/2025 15:45,BDO,"Secure your accounts and cards your way with BDO Online! Confirm app transactions with biometrics or 6-digit PIN, and web transactions with SMS OTP. Lock or unlock Debit and Credit Cards, set limits for Debit Cards, enable or disable overseas Debit Card transactions. Log in now!",notifs
11/04/2025 10:53,GOMO,"This deal's as hot as summer. Get GOMO FIBER and enjoy speeds of up to 100Mbps for a one-time installation fee of just P999. Apply now and get FREE UNLI FIBER for 30 days! Offer is extended until April 30, 2025 only. No advisories? Text OFF to 2686 for free.",ads
11/04/2025 8:29,TNT,"Gusto naming ready ka kausapin ang Tropa! You get total of 17 GB and Unli Allnet Calls & Texts! That's (FREE 9 GB ALL ACCESS DATA for 3 days from us) when you avail DOBLE GIGA VIDEO+ 75 with 2 GB + 2 GB/day for YouTube, Netflix & MORE + UNLI ALLNET CALLS & TEXTS! For TODAY only! Load via Smart App o *123#",notifs
10/04/2025 18:07,GOMO,Need UNSTPPBL Data? You can still get your favorite GOMO promos and pay using GCash via the GOMO PH app! Just visit the Shop tab and select Data Offers. No advisories? Text OFF to 2686 for free.,ads
09/04/2025 12:08,TNT,Laging suliting ang load bago pa ito mag-expire! Expired na ang promo? Load your fave TIKTOK SAYA 50 with just a tap sa Smart App o sa suking tindahan!,notifs
07/04/2025 22:13,GCash,"Did you request to do BANK TRANSFER to BDO Unibank, Inc. account no. ending in 6177 with amount of PHP 1600.00? If not, DON'T ENTER YOUR OTP ON ANY SITE OR SEND IT TO ANYONE because IT'S A SCAM! If you requested, your OTP is 672482.",otp
07/04/2025 8:49,TNT,May promo pa rin? Sulitin mo na 'yan bago pa mag-expire! Expired na ang promo? Load your fave TIKTOK SAYA 50 with just a tap sa Smart App o sa suking tindahan!,notifs
06/04/2025 20:35,GCash,Your payment of P149.00 to Netflix has been successfully processed on 04-06-25 08:35:17 PM. Ref. No. 067285940,notifs
06/04/2025 10:31,GCash,Kaya palang humiram ng BIGGER and BETTER load promos up to P99! Mag-load na with Borrow Load!,notifs
05/04/2025 13:58,TNT,Never run out of data. Always check your load balance and subscriptions with just a tap on smrt.ph/CheckUsage,notifs
05/04/2025 13:58,TNT,You're trying to access sites not included in your promo OR haven't subscribed to one yet.,notifs
05/04/2025 10:51,GOMO,Yassss! You've successfully registered to 15GB Data. You may view your promo details in the Account section of the GOMO PH app.,notifs
04/04/2025 16:38,BDO,"View, manage, add or remove, and group your BDO accounts and cards on BDO Online! Log in now!",notifs
04/04/2025 13:35,GCash,"NEVER SHARE YOUR OTP OR USE IT IN ANY LINK. You are about to pay PHP 265.56 to Seamoney Credit. Your OTP is 180803. If you DID NOT make this request, please ignore this message.",otp
04/04/2025 13:02,TNT,Never run out of data. Always check your load balance and subscriptions with just a tap on smrt.ph/CheckUsage,notifs
04/04/2025 13:02,TNT,You're trying to access sites not included in your promo OR haven't subscribed to one yet.,notifs
04/04/2025 13:02,GCash,You have received P237.60 GCash from Philippine Seven Corporation w/ MSG - PSC Cashin. Your new balance is P280.79 04-04-25 1:02PM. Ref no. 0027434731892.,notifs
04/04/2025 12:12,Shopee,"[Important] You have an SPayLater bill of PHP , due on 04-05-2025. To avoid your account being suspended and incurring late penalties, please pay now via https://shp.ee/mvbcukc . For queries, please visit https://shp.ee/c2eni6k",notifs
04/04/2025 9:08,TNT,Isang linggo pa bago magka-budget? Mag TNT UTANG NA LOAD ka muna ng up to 1 GB! Dial *5623# NOW!,notifs
03/04/2025 12:42,TNT,Never run out of data. Always check your load balance and subscriptions with just a tap on smrt.ph/CheckUsage,notifs
03/04/2025 12:41,TNT,You're trying to access sites not included in your promo OR haven't subscribed to one yet.,notifs
03/04/2025 8:23,TNT,May promo pa rin? Sulitin mo na 'yan bago pa mag-expire! Expired na ang promo? Load your fave TIKTOK SAYA 50 with just a tap sa Smart App o sa suking tindahan!,notifs
03/04/2025 0:26,TNT,Tuloy ang Saya! Load SAYA ALL 99 sa smrt.ph/SmartApp para UNLI ang fave apps mo at may 6 GB ka pa! Kulang sa budget? May TNT Utang Na Load! Dial *5623# now!,notifs
03/04/2025 0:25,TNT,Nag-expire na ang Open Access Data mo.,notifs
02/04/2025 23:25,TNT,"Never run out of data. Manage your subscriptions and check out the Smart App for Bigger & Longer Data, No Expiry offers and MORE! smrt.ph/SmartApp",notifs
02/04/2025 23:25,TNT,May 60 minutes ka na lang sa Open Access Data mo.,notifs
02/04/2025 13:06,GCash,"More data para ‘di bitin? With Borrow Load, kaya palang mag-upgrade to ALL ACCESS 99 for 15 days of sulit data!",notifs
02/04/2025 0:24,SmartLoad,1/1 02-Apr 00:24: UTANG NA LOAD approved. May 200 MB data ka na for 1 day. P10 will be deducted sa iyong next reload. Ref:781064603965,notifs
01/04/2025 12:38,GCash,"Did you request to do BANK TRANSFER to BDO Unibank, Inc. account no. ending in 6177 with amount of PHP 2000.00? If not, DON'T ENTER YOUR OTP ON ANY SITE OR SEND IT TO ANYONE because IT'S A SCAM! If you requested, your OTP is 600353.",otp
01/04/2025 11:36,TNT,Never run out of data. Always check your load balance and subscriptions with just a tap on smrt.ph/CheckUsage,notifs
01/04/2025 11:36,TNT,You're trying to access sites not included in your promo OR haven't subscribed to one yet.,notifs
01/04/2025 3:33,TNT,Nag-expire na ang Unli Texts mo.,notifs
01/04/2025 3:33,TNT,Tuloy ang Saya! Load SAYA ALL 99 sa smrt.ph/SmartApp para UNLI ang fave apps mo at may 6 GB ka pa! Kulang sa budget? May TNT Utang Na Load! Dial *5623# now!,notifs
01/04/2025 3:33,TNT,Nag-expire na ang Unli Calls mo.,notifs
01/04/2025 3:33,TNT,Nag-expire na ang Open Access Data mo.,notifs
01/04/2025 3:33,TNT,Nag-expire na ang FREE UNLI TIKTOK ARAW-ARAW mo.,notifs
01/04/2025 2:33,TNT,"Never run out of data. Manage your subscriptions and check out the Smart App for Bigger & Longer Data, No Expiry offers and MORE! smrt.ph/SmartApp",notifs
01/04/2025 2:33,TNT,"Always stay connected. Manage your subscriptions and check out the Smart App for Bigger & Longer Offers, No Expiry offer and MORE! smrt.ph/SmartApp",notifs
01/04/2025 2:33,TNT,"Always stay connected. Manage your subscriptions and check out the Smart App for Bigger & Longer Offers, No Expiry offer and MORE! smrt.ph/SmartApp",notifs
01/04/2025 2:33,TNT,"Never run out of data. Manage your subscriptions and check out the Smart App for Bigger & Longer Data, No Expiry offers and MORE! smrt.ph/SmartApp",notifs
01/04/2025 2:33,TNT,May 60 minutes ka na lang sa FREE UNLI TIKTOK ARAW-ARAW mo.,notifs
01/04/2025 2:33,TNT,May 60 minutes ka na lang sa Unli Texts mo.,notifs
01/04/2025 2:33,TNT,May 60 minutes ka na lang sa Open Access Data mo.,notifs
01/04/2025 2:33,TNT,May 60 minutes ka na lang sa Unli Calls mo.,notifs
31/03/2025 18:46,TNT,"Last chance mo nang manalo ng group date with Kathryn Bernardo at Joshua Garcia sa TNT Max Saya Bonding Raffle! May cash prizes pa sa araw ng event! To join: Text TNT25 to 5858 at abangan ang confirmation na kasali ka. To earn raffle entries: Dial *123# and load Saya All 149 from Feb 28-Mar 31. 1 promo = 1 raffle entry. Sa pag-text nito, sumasang-ayon ka sa T&Cs at Privacy Notice ng promo. For more info, visit the TNT Anibersaya webpage!",notifs
31/03/2025 11:24,TNT,"Para hindi maubusan ng data, download the smrt.ph/SmartApp for offers na exclusive for you. Kulang sa budget? May TNT Utang Na Load! Dial *5623# now!",notifs
31/03/2025 11:24,TNT,Naubos na ang FREE 5G DATA mo.,notifs
31/03/2025 8:23,TNT,"Never run out of data. Manage your subscriptions and check out the Smart App for Bigger & Longer Data, No Expiry offers and MORE! smrt.ph/SmartApp",notifs
31/03/2025 8:23,TNT,May 500 MB ka na lang sa FREE 5G DATA mo.,notifs
