Date,sender,text,category
2025-04-13 03:28:03,GoTyme Bank,"Never share your OTP 385535 or enter it on suspicious forms/sites from SMS links. Only use it in the GoTyme Bank app. If you didn't request it, call #468888.",otp
2025-04-11 15:45:34,BDO,"Secure your accounts and cards your way with BDO Online! Confirm app transactions with biometrics or 6-digit PIN, and web transactions with SMS OTP. Lock or unlock Debit and Credit Cards, set limits for Debit Cards, enable or disable overseas Debit Card transactions. Log in now!",notifs
2025-04-11 10:53:13,GOMO,"This deal's as hot as summer. Get GOMO FIBER and enjoy speeds of up to 100Mbps for a one-time installation fee of just P999. Apply now and get FREE UNLI FIBER for 30 days! Offer is extended until April 30, 2025 only. No advisories? Text OFF to 2686 for free.",ads
2025-04-11 08:29:01,TNT,"Gusto naming ready ka kausapin ang Tropa! You get total of 17 GB and Unli Allnet Calls & Texts! That's (FREE 9 GB ALL ACCESS DATA for 3 days from us) when you avail DOBLE GIGA VIDEO+ 75 with 2 GB + 2 GB/day for YouTube, Netflix & MORE + UNLI ALLNET CALLS & TEXTS! For TODAY only! Load via Smart App o *123#",notifs
2025-04-10 18:07:58,GOMO,Need UNSTPPBL Data? You can still get your favorite GOMO promos and pay using GCash via the GOMO PH app! Just visit the Shop tab and select Data Offers. No advisories? Text OFF to 2686 for free.,ads
2025-04-09 12:08:11,TNT,Laging suliting ang load bago pa ito mag-expire! Expired na ang promo? Load your fave TIKTOK SAYA 50 with just a tap sa Smart App o sa suking tindahan!,notifs
2025-04-07 22:13:12,GCash,"Did you request to do BANK TRANSFER to BDO Unibank, Inc. account no. ending in 6177 with amount of PHP 1600.00? If not, DON'T ENTER YOUR OTP ON ANY SITE OR SEND IT TO ANYONE because IT'S A SCAM! If you requested, your OTP is 672482.",otp
2025-04-07 08:49:18,TNT,May promo pa rin? Sulitin mo na 'yan bago pa mag-expire! Expired na ang promo? Load your fave TIKTOK SAYA 50 with just a tap sa Smart App o sa suking tindahan!,notifs
2025-04-06 20:35:20,GCash,Your payment of P149.00 to Netflix has been successfully processed on 04-06-25 08:35:17 PM. Ref. No. 067285940,notifs
2025-04-06 10:31:37,GCash,Kaya palang humiram ng BIGGER and BETTER load promos up to P99! Mag-load na with Borrow Load!,notifs
2025-04-05 13:58:02,TNT,Never run out of data. Always check your load balance and subscriptions with just a tap on smrt.ph/CheckUsage,notifs
2025-04-05 13:58:02,TNT,You're trying to access sites not included in your promo OR haven't subscribed to one yet.,notifs
2025-04-05 10:51:03,GOMO,Yassss! You've successfully registered to 15GB Data. You may view your promo details in the Account section of the GOMO PH app.,notifs
2025-04-04 16:38:30,BDO,"View, manage, add or remove, and group your BDO accounts and cards on BDO Online! Log in now!",notifs
2025-04-04 13:35:56,GCash,"NEVER SHARE YOUR OTP OR USE IT IN ANY LINK. You are about to pay PHP 265.56 to Seamoney Credit. Your OTP is 180803. If you DID NOT make this request, please ignore this message.",otp
2025-04-04 13:02:44,TNT,Never run out of data. Always check your load balance and subscriptions with just a tap on smrt.ph/CheckUsage,notifs
2025-04-04 13:02:44,TNT,You're trying to access sites not included in your promo OR haven't subscribed to one yet.,notifs
2025-04-04 13:02:06,GCash,You have received P237.60 GCash from Philippine Seven Corporation w/ MSG - PSC Cashin. Your new balance is P280.79 04-04-25 1:02PM. Ref no. 0027434731892.,notifs
2025-04-04 12:12:37,Shopee,"[Important] You have an SPayLater bill of PHP , due on 04-05-2025. To avoid your account being suspended and incurring late penalties, please pay now via https://shp.ee/mvbcukc . For queries, please visit https://shp.ee/c2eni6k",notifs
2025-04-04 09:08:01,TNT,Isang linggo pa bago magka-budget? Mag TNT UTANG NA LOAD ka muna ng up to 1 GB! Dial *5623# NOW!,notifs
2025-04-03 12:42:03,TNT,Never run out of data. Always check your load balance and subscriptions with just a tap on smrt.ph/CheckUsage,notifs
2025-04-03 12:41:57,TNT,You're trying to access sites not included in your promo OR haven't subscribed to one yet.,notifs
2025-04-03 08:23:05,TNT,May promo pa rin? Sulitin mo na 'yan bago pa mag-expire! Expired na ang promo? Load your fave TIKTOK SAYA 50 with just a tap sa Smart App o sa suking tindahan!,notifs
2025-04-03 00:26:02,TNT,Tuloy ang Saya! Load SAYA ALL 99 sa smrt.ph/SmartApp para UNLI ang fave apps mo at may 6 GB ka pa! Kulang sa budget? May TNT Utang Na Load! Dial *5623# now!,notifs
2025-04-03 00:25:56,TNT,Nag-expire na ang Open Access Data mo.,notifs
2025-04-02 23:25:50,TNT,"Never run out of data. Manage your subscriptions and check out the Smart App for Bigger & Longer Data, No Expiry offers and MORE! smrt.ph/SmartApp",notifs
2025-04-02 23:25:49,TNT,May 60 minutes ka na lang sa Open Access Data mo.,notifs
2025-04-02 13:06:42,GCash,"More data para ‘di bitin? With Borrow Load, kaya palang mag-upgrade to ALL ACCESS 99 for 15 days of sulit data!",notifs
2025-04-02 00:24:53,SmartLoad,1/1 02-Apr 00:24: UTANG NA LOAD approved. May 200 MB data ka na for 1 day. P10 will be deducted sa iyong next reload. Ref:781064603965,notifs
2025-04-01 12:38:53,GCash,"Did you request to do BANK TRANSFER to BDO Unibank, Inc. account no. ending in 6177 with amount of PHP 2000.00? If not, DON'T ENTER YOUR OTP ON ANY SITE OR SEND IT TO ANYONE because IT'S A SCAM! If you requested, your OTP is 600353.",otp
2025-04-01 11:36:15,TNT,Never run out of data. Always check your load balance and subscriptions with just a tap on smrt.ph/CheckUsage,notifs
2025-04-01 11:36:14,TNT,You're trying to access sites not included in your promo OR haven't subscribed to one yet.,notifs
2025-04-01 03:33:11,TNT,Nag-expire na ang Unli Texts mo.,notifs
2025-04-01 03:33:10,TNT,Tuloy ang Saya! Load SAYA ALL 99 sa smrt.ph/SmartApp para UNLI ang fave apps mo at may 6 GB ka pa! Kulang sa budget? May TNT Utang Na Load! Dial *5623# now!,notifs
2025-04-01 03:33:10,TNT,Nag-expire na ang Unli Calls mo.,notifs
2025-04-01 03:33:10,TNT,Nag-expire na ang Open Access Data mo.,notifs
2025-04-01 03:33:10,TNT,Nag-expire na ang FREE UNLI TIKTOK ARAW-ARAW mo.,notifs
2025-04-01 02:33:40,TNT,"Never run out of data. Manage your subscriptions and check out the Smart App for Bigger & Longer Data, No Expiry offers and MORE! smrt.ph/SmartApp",notifs
2025-04-01 02:33:40,TNT,"Always stay connected. Manage your subscriptions and check out the Smart App for Bigger & Longer Offers, No Expiry offer and MORE! smrt.ph/SmartApp",notifs
2025-04-01 02:33:40,TNT,"Always stay connected. Manage your subscriptions and check out the Smart App for Bigger & Longer Offers, No Expiry offer and MORE! smrt.ph/SmartApp",notifs
2025-04-01 02:33:40,TNT,"Never run out of data. Manage your subscriptions and check out the Smart App for Bigger & Longer Data, No Expiry offers and MORE! smrt.ph/SmartApp",notifs
2025-04-01 02:33:39,TNT,May 60 minutes ka na lang sa FREE UNLI TIKTOK ARAW-ARAW mo.,notifs
2025-04-01 02:33:39,TNT,May 60 minutes ka na lang sa Unli Texts mo.,notifs
2025-04-01 02:33:39,TNT,May 60 minutes ka na lang sa Open Access Data mo.,notifs
2025-04-01 02:33:39,TNT,May 60 minutes ka na lang sa Unli Calls mo.,notifs
2025-03-31 18:46:05,TNT,"Last chance mo nang manalo ng group date with Kathryn Bernardo at Joshua Garcia sa TNT Max Saya Bonding Raffle! May cash prizes pa sa araw ng event! To join: Text TNT25 to 5858 at abangan ang confirmation na kasali ka. To earn raffle entries: Dial *123# and load Saya All 149 from Feb 28-Mar 31. 1 promo = 1 raffle entry. Sa pag-text nito, sumasang-ayon ka sa T&Cs at Privacy Notice ng promo. For more info, visit the TNT Anibersaya webpage!",notifs
2025-03-31 11:24:04,TNT,"Para hindi maubusan ng data, download the smrt.ph/SmartApp for offers na exclusive for you. Kulang sa budget? May TNT Utang Na Load! Dial *5623# now!",notifs
2025-03-31 11:24:04,TNT,Naubos na ang FREE 5G DATA mo.,notifs
2025-03-31 08:23:40,TNT,"Never run out of data. Manage your subscriptions and check out the Smart App for Bigger & Longer Data, No Expiry offers and MORE! smrt.ph/SmartApp",notifs
2025-03-31 08:23:39,TNT,May 500 MB ka na lang sa FREE 5G DATA mo.,notifs
2025-03-29 10:24:39,TNT,May promo pa rin? Sulitin mo na 'yan bago pa mag-expire! Expired na ang promo? Load your fave ALLNET 20 with just a tap sa Smart App o sa suking tindahan!,notifs
2025-03-29 08:36:08,GOMO,"SCAM ALERT: If someone sends a link or asks for your OTP... STOP! It might be a scam! Scammers pretend to be from your telco, bank, or other trusted institutions to steal your info and initiate unauthorized transactions. Never share your OTP! Transact only via official apps and websites. Stay safe, Fam!",ads
2025-03-29 07:06:48,TNT,"FREE DATA for you, KaTropa! Meron kang FREE 2.5 GB 5G DATA ACCESS dahil nagload ka ng TIKTOK SAYA 50 today! Load lang nang load at baka makakuha ka pa ng surprise freebies! Just go to https://smrt.ph/GetSmartApp o dial *123#",notifs
2025-03-29 03:33:21,TNT,Tuloy ang Saya! May UNLI TikTok + 3 GB + Unli Calls & Texts ka na with TIKTOK SAYA 50 for 3 days.,notifs
2025-03-29 03:33:10,TNT,"Load NOW and check out Free Promo Load, Unli TikTok, Bigger & Longer Data, No Expiry Offers and MORE at smrt.ph/SmartApp!",notifs
2025-03-29 03:33:08,TNT,"Iba talaga 'pag 'di ka bitin sa SAYA! Mag UNLI TikTok, FB & MLBB + 6 GB + Unli Calls & Texts for 7 days na w/ SAYA ALL 99. Buy NOW at Smart App!",notifs
2025-03-29 03:33:08,TNT,Your regular load is low on balance. Add Regular Load NOW to continue enjoying our promos and services.,notifs
2025-03-29 03:08:49,TNTLOAD,"2/2 Stay always connected! Manage your subscriptions and check out the Smart App for Bigger & Longer Data, No Expiry offers and MORE! smrt.ph/SmartApp",notifs
2025-03-29 03:08:48,TNTLOAD,1/2 29-Mar 03:08: P50 loaded to 09129094503 from XXXXXXXX7428 for 1 year. Ref:CCT7I7KA57. Get MORE with PROMO LOAD in the Smart App!,notifs
2025-03-28 13:13:02,TNT,Never run out of data. Always check your load balance and subscriptions with just a tap on smrt.ph/CheckUsage,notifs
2025-03-28 13:13:02,TNT,You're trying to access sites not included in your promo OR haven't subscribed to one yet.,notifs
2025-03-28 13:05:46,BDO,"FINAL REMINDER: The old Online Banking website will no longer be available on March 31, 2025. Log in to the new BDO Online website now to avoid any inconvenience. Go to the BDO website > Login > Personal > BDO Online Banking (New). If you use the BDO Online or BDO Pay apps, log in with your username and password. Otherwise, log in with your old Online Banking website username and password. If you are unable to log in, go to ""Need help logging in?"" to retrieve your username or reset your password.",notifs
2025-03-28 12:26:25,RD PAWNSHOP,"Hi Mr/Ms <NAME>, RDCN 47972 can be claimed at any RDPawnshop, Penbank and TrueMoney branches. Please present valid ID. Thank you!",notifs
2025-03-28 11:46:00,TNT,"KaTropa! 'Wag palampasin ang iyong FREE VIU VOUCHER! Mag-load lang ng TNT SURFSAYA 49 para may all access data + UNLI calls & texts to all ka na for 7 days, may FREE 7-day Viu voucher ka pa! Simulan na ang pag-bingewatch this weekend! Load na sa Smart App! DTI216150",notifs
2025-03-28 08:05:41,GCash,Kaya mo nang i-checkout ang nasa cart mo! Treat yourself this weekend & pay later with GGives for affordable installments. I-GGives mo na!,notifs
2025-03-27 22:04:46,GCash,"NEVER SHARE YOUR OTP OR USE IT IN ANY LINK. You are about to pay PHP 220.00 to Shopee Philippines Inc. Your OTP is 150839. If you DID NOT make this request, please ignore this message.",otp
2025-03-27 22:02:32,GCash,"NEVER SHARE YOUR OTP OR USE IT IN ANY LINK. You are about to pay PHP 220.00 to Shopee Philippines Inc. Your OTP is 106167. If you DID NOT make this request, please ignore this message.",otp
2025-03-27 16:55:06,BDO,"REMINDER: The old Online Banking website will no longer be available on March 31, 2025. Log in to the new BDO Online website now to avoid any inconvenience. Go to the BDO website > Login > Personal > BDO Online Banking (New). If you use the BDO Online or BDO Pay apps, log in with your username and password. Otherwise, log in with your old Online Banking website username and password. If you are unable to log in, go to ""Need help logging in?"" to retrieve your username or reset your password.",notifs
